"","Individual","Collective","Mean_800","Mean_1250","Mean_2000","Jewish_segment","JLR_station","Damascus_Gate_dis","With_settlements","con800"
"196",0,0,98.7288903741379,147.348889224138,247.060549310345,1,0,5698.92202009532,0,35
"197",0,0,102.734584791667,174.758287751389,283.713102375,1,0,5204.28801757614,0,37
"198",0,0,87.8040520214286,174.898431698571,444.869246214286,1,0,4710.78638601196,0,32
"199",0,0,216.118588169811,461.453302018868,953.64023190566,1,0,4218.81453517034,0,70
"200",0,0,384.906551053333,674.295861773333,1378.18660701333,1,0,3728.97800435064,0,89
"201",2,0,368.908145263158,885.409907578947,2308.6952333421,1,0,3242.24475496031,0,88
"202",3,0,527.277781630303,1350.09186475758,3246.71608242424,1,1,2760.25694535444,0,94
"203",0,0,726.364478533679,1674.10045590155,3884.92472906736,1,1,2286.01816360804,0,98
"204",1,0,855.194268790123,1801.94817311728,3707.28445271605,1,0,1825.57743909105,0,99
"205",0,0,1005.96404796903,2278.49048121681,4642.52646243363,1,0,1392.68813182013,0,100
"206",1,1,829.807062232199,1673.09377450155,3701.64343510836,1,0,1022.94710226822,0,99
"207",0,7,612.73016527027,1512.08707211712,3439.72972855856,0,0,808.241664520075,1,96
"208",0,48,278.00498307963,634.279257046296,2077.67392713889,0,0,871.826610718672,0,81
"209",0,0,168.788889630435,406.813300666667,1494.12182146377,0,0,1169.14579474178,0,59
"210",0,12,99.1791872034483,210.976824252874,604.56090245977,1,0,1572.80490518442,1,36
"211",0,0,13.33402,23.557425,41.855888,0,0,2020.03012672328,0,4
"212",0,0,52.4431212636364,117.381244454545,240.614633772727,0,0,2487.43263932645,0,21
"213",0,0,NA,NA,NA,0,0,2965.48704952939,0,NA
"214",0,0,13.544691225,15.110747725,27.95167995,1,0,9147.88165644764,0,5
"215",0,0,NA,NA,NA,1,0,8648.16121258308,0,NA
"216",0,0,117.691699804082,145.588391836735,189.765719265306,1,0,5650.86312367352,0,41
"217",1,1,127.660229601136,188.769367193182,268.186789659091,1,0,5151.6167960185,0,44
"218",0,0,95.5997801285714,190.132199945238,446.195447380952,1,0,4652.53159170224,0,34
"219",0,0,180.308947226829,373.276993585366,850.527427585366,1,0,4153.66559987296,0,62
"220",0,0,337.650900225,792.672727633333,2134.00300245833,1,1,3655.10858782909,0,86
"221",0,0,336.373484103896,954.130725454546,2644.71556435065,1,1,3157.00695021346,0,86
"222",0,0,333.50282728866,1092.72369895876,2851.55373773196,1,0,2659.61655882715,0,85
"223",0,0,633.53145952521,1450.56369789916,3238.85415705882,1,0,2163.42804021106,0,96
"224",1,0,1020.82998630698,1856.3023619,3521.46204125581,1,1,1669.51335256757,0,100
"225",1,3,979.216589605769,2134.36479383654,4393.82372826923,1,1,1180.72947388419,0,100
"226",0,0,667.454971209486,1462.85891324506,3465.96848498024,1,0,707.78714594164,0,97
"227",5,2,650.541670265537,1721.60362819774,3826.62166288136,0,1,328.323731049713,1,97
"228",1,31,398.434168828947,944.335570350877,2207.68160616667,0,0,463.274799323955,1,90
"229",0,1,309.940120324419,869.115162383721,2396.01894483721,0,0,906.335373118411,0,83
"230",0,16,154.098010421539,376.402619415385,1050.31187566154,0,0,1388.61701339298,1,54
"231",0,0,211.68967165679,425.375810975309,823.916184111111,0,0,1880.17650132401,0,70
"232",0,0,197.032130751825,303.188084890511,528.95215759854,0,0,2375.26064334939,0,67
"233",0,0,20.2639255,38.687454,206.32995,0,0,2872.04725887539,0,8
"234",0,0,38.1329242666667,43.38643045,44.9390837,1,0,9645.27409358837,0,16
"235",0,0,19.3895573285714,30.9786669,38.0683952428571,1,0,9145.39632419446,0,8
"236",0,0,38.3145068142857,70.8736545285714,119.968941142857,1,0,5646.83886424131,0,16
"237",0,0,52.285805,86.0313601266667,140.276222266667,1,0,5147.20222339723,0,21
"238",0,0,66.9809601708333,152.145584741667,414.3955675,1,0,4647.64298616104,0,25
"239",0,0,246.872564503947,563.707936947368,1345.07279693421,1,1,4148.18912662841,0,76
"240",0,0,287.212113254386,561.635765894737,1427.60673460526,1,0,3648.8839257248,0,82
"241",0,0,282.983857275807,672.15998727957,1603.3262537957,1,0,3149.7980885051,0,81
"242",0,0,264.283808161905,644.264818704762,1753.01773611428,1,0,2651.05551712683,0,78
"243",0,0,307.429304041748,737.676881742718,1810.80447364078,1,0,2152.89479550343,0,83
"244",0,0,979.87721234375,2023.57046079167,4301.83293171875,1,0,1655.84116096829,0,100
"245",0,0,671.283586759398,1762.07427863158,3945.75785289474,1,0,1161.31701410973,0,97
"246",4,1,701.377935917031,1913.89207023581,4539.94671816594,1,1,674.90574284055,0,97
"247",18,23,748.103175816161,1356.4548457697,2607.03602731313,0,0,249.662955421853,1,98
"248",12,85,935.5883488825,1505.8675757675,2382.40066895,0,0,411.289022464818,1,99
"249",6,24,387.746775026229,972.198483360655,2116.90077002459,0,0,880.896662743027,0,90
"250",1,57,210.859635235052,410.765072752577,1128.77117428866,0,0,1372.14880151335,1,69
"251",2,120,209.222264230894,421.822966398374,713.394831699187,0,0,1868.04678787071,0,69
"252",0,0,196.887390730159,371.981925619048,612.390333253968,0,0,2365.67078256837,0,67
"253",0,0,36.42105688,46.880454728,53.710992572,1,0,9668.80761000918,0,15
"254",0,0,28.3627744,38.8146619333333,46.4577472333333,1,0,9170.21276783271,0,13
"255",0,0,20.333883,30.892075,53.20446,1,0,8671.7792743898,0,9
"256",0,0,13.4961166,16.7261413,34.17626205,1,0,8173.5366582653,0,5
"257",0,0,18.10594441,29.07295169,62.34533575,1,0,7675.52210154048,0,7
"258",0,0,47.1387926666667,90.9591446666667,157.797095,1,0,7177.78308505986,0,18
"259",0,0,36.763541225,54.7183708375,92.836805475,1,0,6183.39784426708,0,15
"260",0,0,30.2858844868852,48.2814551393443,121.361277239344,1,0,5686.94272344624,0,13
"261",0,0,114.403618411111,217.293294384848,545.066680272728,1,0,5191.16741364251,0,40
"262",0,0,189.044195522059,386.102660529412,827.509659794118,1,0,4696.28722713131,0,65
"263",0,0,329.153679338318,656.903002411215,1253.19781466355,1,1,4202.61840122435,0,85
"264",0,0,227.603984059524,440.289534738095,857.844076178572,1,0,3710.64445894528,0,72
"265",0,0,157.286768550407,354.978221349593,890.256131731707,1,0,3221.14209481925,0,55
"266",0,0,273.284229339634,640.104458695122,1469.62143312195,1,0,2735.43849301614,0,79
"267",0,0,264.625592683761,720.572696641025,2205.12336183761,1,0,2255.98856166109,0,78
"268",0,0,590.16533795,1554.69243551111,3649.71244588889,1,0,1787.83062228482,0,95
"269",0,0,632.068983773481,1567.65525256354,3624.26614243094,1,0,1342.82745831551,0,96
"270",0,0,517.568879775785,1165.68986121525,2911.73031668161,1,0,953.952895750794,0,94
"271",1,7,837.358256442857,1344.78449641837,2523.39671566735,0,0,718.929721936965,1,99
"272",2,48,748.978064813743,1131.90403890958,1900.40707031646,1,0,789.738564393036,1,98
"273",0,10,261.918362664286,631.011684678572,1661.46342771428,0,0,1109.28231526589,1,77
"274",0,0,139.823781016312,260.370345964539,756.587745042554,0,0,1528.82982721966,0,48
"275",0,0,233.440195035862,421.482165365517,758.897736124137,0,0,1985.98265085137,0,74
"276",0,0,80.7397032266667,202.7829122,452.722379066667,0,0,2459.86310963623,0,31
"277",0,0,15.204342,21.2035816666667,35.5296996333333,1,0,8726.64180890009,0,6
"278",0,0,15.4105823,22.9281602,43.17500345,1,0,8231.72053820201,0,6
"279",0,0,32.54694265,55.3068628166667,182.735110333333,1,0,7737.4518467194,0,14
"280",0,0,42.8194486586207,68.6972429931035,169.166706555172,1,0,7243.96932595092,0,18
"281",0,0,70.8151431736842,130.070360657895,181.690432263158,1,0,6751.44537877226,0,26
"282",0,0,45.1840986917808,68.9770394657534,108.785904919178,1,0,6260.10627130728,0,18
"283",0,0,94.5689564827586,203.428905334483,515.176219489655,1,0,5770.25468984301,0,34
"284",0,0,154.362081178049,341.130403863415,878.007749390244,1,0,5282.30449489264,0,54
"285",0,0,243.031210737383,590.226731065421,1244.93892311215,1,1,4796.8359770271,0,75
"286",0,0,129.758033471233,364.661521136986,916.920380013699,1,0,4314.68690679235,0,45
"287",0,0,190.87326782,348.582535110345,806.374944227586,1,0,3837.10880490385,0,66
"288",0,0,274.703237536083,473.369928046392,839.082736731959,1,0,3366.04784186203,0,80
"289",0,0,258.112920297973,434.258778141892,938.559418885135,1,0,2904.67647467973,0,77
"290",0,0,233.456653248062,574.510936364341,1779.80366893023,1,0,2458.45603066185,0,74
"291",1,0,500.243405345071,1214.15472607746,3174.09528215493,1,0,2037.36594289826,0,94
"292",0,0,598.727744473373,1297.61015248521,3011.48661289941,1,0,1660.63458266141,0,96
"293",0,0,596.920601219143,1235.26623416625,3094.91588813602,1,0,1365.48443445641,0,95
"294",0,4,320.163211958333,800.834863037037,1834.85336643519,1,0,1213.00516639106,0,84
"295",0,215,159.001079175676,497.434059364865,1361.85804890541,0,0,1256.2677103044,1,56
"296",0,27,130.780752189759,244.653428774096,631.559016301205,0,0,1478.18428558782,1,46
"297",0,126,169.903874129134,323.913789889764,674.428675330709,0,0,1814.3434435631,0,59
"298",0,0,129.822652839,247.81335206,495.42570543,0,0,2213.2890772717,0,45
